test name, construction, rendering, total
texture/plane, 0.0012855, 1.5963091, 1.5975946
texture/sphere, 0.0010102, 0.784848, 0.7858582
texture/rectangles, 0.1818772, 5.9620142, 6.1438914
light/sphere front, 0.0014856, 0.2008579, 0.2023435
light/sphere top, 9.08E-05, 0.1997833, 0.1998741
light/sphere front far, 6.95E-05, 0.2023166, 0.2023861
light/sphere top far, 6.97E-05, 0.2002965, 0.2003662
light/sphere colour, 0.0010697, 0.304714, 0.3057837
light/shadow, 0.0012716, 0.4194169, 0.4206885
csg/union, 0.0012059, 0.214884, 0.2160899
csg/union2, 0.0011279, 0.5783589, 0.5794868
csg/union3, 0.0011277, 0.3568437, 0.3579714
csg/intersection, 0.001343, 0.1805355, 0.1818785
csg/subtraction, 0.0014166, 0.1610257, 0.1624423
csg/cross, 0.0012067, 0.3151971, 0.3164038
csg/intersection2, 0.0012726, 0.1790606, 0.1803332
csg/lantern, 0.0010928, 0.5006978, 0.5017906
csg/lantern2, 0.0011644, 0.55935, 0.5605144
csg/unionTorus, 0.0043441, 81.4103243, 81.4146684
csg/intersectTorus, 0.0048927, 27.6537507, 27.6586434
csg/subtractTorus, 0.0048234, 27.7881393, 27.7929627
csg/unionTorus2, 0.0046807, 31.911429, 31.9161097
csg/intersectTorus2, 0.004674, 29.499023, 29.503697
