test name, construction, rendering, total
texture/sphere, 0.0033164, 1.194916, 1.1982324
texture/rectangles, 0.3497619, 2.6135466, 2.9633085
light/sphere front, 0.0033083, 0.2481318, 0.2514401
light/sphere top, 0.0018938, 0.2401844, 0.2420782
light/sphere front far, 0.0017956, 0.245524, 0.2473196
light/sphere top far, 0.0021978, 0.2499648, 0.2521626
light/sphere colour, 0.0032531, 0.3054759, 0.308729
light/shadow, 0.0036104, 0.4042559, 0.4078663
csg/union, 0.0026352, 0.3094479, 0.3120831
csg/union2, 0.0034841, 0.5035725, 0.5070566
csg/union3, 0.0031458, 0.3461951, 0.3493409
csg/intersection, 0.0028908, 0.256096, 0.2589868
csg/subtraction, 0.0013066, 0.315206, 0.3165126
csg/cross, 0.0019633, 0.6100301, 0.6119934
csg/intersection2, 0.0016756, 0.33092, 0.3325956
csg/lantern, 0.0016554, 0.4597545, 0.4614099
csg/lantern2, 0.0016088, 0.5304611, 0.5320699
csg/unionTorus, 0.0107754, 5.6177285, 5.6285039
csg/intersectTorus, 0.0123004, 2.7317985, 2.7440989
csg/subtractTorus, 0.0111447, 3.3484097, 3.3595544
csg/unionTorus2, 0.0105093, 5.5226446, 5.5331539
csg/intersectTorus2, 0.0110362, 2.7812669, 2.7923031
thinLens/renderPlaneClose, 0.0521835, 32.3108645, 32.363048
thinLens/renderPlaneCenter, 0.0436233, 29.8277977, 29.871421
thinLens/renderPlaneFar, 0.0485042, 30.4303713, 30.4788755
